ID Ranking,ID Actualización,Tipo Ranking,Posición,Entidad,ID Yacimiento,Operadora,Producción,Cantidad Yacimientos,Producto,Unidad,Período Desde,Período Hasta,Fecha Cálculo
RANK-2026-08-OP-PETROLEO-01,ACT-2026-08,Top Operadoras Petróleo,1,YPF S.A.,,YPF S.A.,19081762.05,,Petróleo,m3,2025-09-01,2026-08-01,
RANK-2026-08-OP-PETROLEO-02,ACT-2026-08,Top Operadoras Petróleo,2,VISTA ENERGY ARGENTINA SAU,,VISTA ENERGY ARGENTINA SAU,4061187.894,,Petróleo,m3,2025-09-01,2026-08-01,
RANK-2026-08-OP-PETROLEO-03,ACT-2026-08,Top Operadoras Petróleo,3,SHELL ARGENTINA S.A.,,SHELL ARGENTINA S.A.,1847858.77,,Petróleo,m3,2025-09-01,2026-08-01,
RANK-2026-08-OP-PETROLEO-04,ACT-2026-08,Top Operadoras Petróleo,4,PAN AMERICAN ENERGY SL,,PAN AMERICAN ENERGY SL,1843625.1541,,Petróleo,m3,2025-09-01,2026-08-01,
RANK-2026-08-OP-PETROLEO-05,ACT-2026-08,Top Operadoras Petróleo,5,PLUSPETROL CUENCA NEUQUINA S.R.L.,,PLUSPETROL CUENCA NEUQUINA S.R.L.,1577489.42,,Petróleo,m3,2025-09-01,2026-08-01,
RANK-2026-08-YAC-PETROLEO-01,ACT-2026-08,Top Yacimientos Petróleo,1,LA AMARGA CHICA,LAC,YPF S.A.,4892080.11,,Petróleo,m3,2025-09-01,2026-08-01,
RANK-2026-08-YAC-PETROLEO-02,ACT-2026-08,Top Yacimientos Petróleo,2,LOMA CAMPANA-LLL,LCLL,YPF S.A.,4100679.6,,Petróleo,m3,2025-09-01,2026-08-01,
RANK-2026-08-YAC-PETROLEO-03,ACT-2026-08,Top Yacimientos Petróleo,3,BANDURRIA SUR,BDSS,YPF S.A.,3698425.47,,Petróleo,m3,2025-09-01,2026-08-01,
RANK-2026-08-YAC-PETROLEO-04,ACT-2026-08,Top Yacimientos Petróleo,4,BAJADA DEL PALO OESTE,BPO,VISTA ENERGY ARGENTINA SAU,2907060.809,,Petróleo,m3,2025-09-01,2026-08-01,
RANK-2026-08-YAC-PETROLEO-05,ACT-2026-08,Top Yacimientos Petróleo,5,LA ANGOSTURA SUR I,LAS1,YPF S.A.,2052395.91,,Petróleo,m3,2025-09-01,2026-08-01,
RANK-2026-08-OP-GAS-01,ACT-2026-08,Top Operadoras Gas,1,YPF S.A.,,YPF S.A.,10162262.12,,Gas,miles de m3,2025-09-01,2026-08-01,
RANK-2026-08-OP-GAS-02,ACT-2026-08,Top Operadoras Gas,2,TECPETROL S.A.,,TECPETROL S.A.,5573246.9756,,Gas,miles de m3,2025-09-01,2026-08-01,
RANK-2026-08-OP-GAS-03,ACT-2026-08,Top Operadoras Gas,3,TOTAL AUSTRAL S.A.,,TOTAL AUSTRAL S.A.,4261212.5752,,Gas,miles de m3,2025-09-01,2026-08-01,
RANK-2026-08-OP-GAS-04,ACT-2026-08,Top Operadoras Gas,4,PLUSPETROL S.A.,,PLUSPETROL S.A.,4257497.5673,,Gas,miles de m3,2025-09-01,2026-08-01,
RANK-2026-08-OP-GAS-05,ACT-2026-08,Top Operadoras Gas,5,PAMPA ENERGIA S.A.,,PAMPA ENERGIA S.A.,4248904.464,,Gas,miles de m3,2025-09-01,2026-08-01,
RANK-2026-08-YAC-GAS-01,ACT-2026-08,Top Yacimientos Gas,1,FORTIN DE PIEDRA,FOR,TECPETROL S.A.,5409009.6309,,Gas,miles de m3,2025-09-01,2026-08-01,
RANK-2026-08-YAC-GAS-02,ACT-2026-08,Top Yacimientos Gas,2,LA CALERA,LCA,PLUSPETROL S.A.,4134662.281,,Gas,miles de m3,2025-09-01,2026-08-01,
RANK-2026-08-YAC-GAS-03,ACT-2026-08,Top Yacimientos Gas,3,AGUADA PICHANA ESTE VACA MUERTA,APVM,TOTAL AUSTRAL S.A.,3274072.6401,,Gas,miles de m3,2025-09-01,2026-08-01,
RANK-2026-08-YAC-GAS-04,ACT-2026-08,Top Yacimientos Gas,4,AGUADA PICHANA OESTE,APO,PAN AMERICAN ENERGY SL,2719875.86,,Gas,miles de m3,2025-09-01,2026-08-01,
RANK-2026-08-YAC-GAS-05,ACT-2026-08,Top Yacimientos Gas,5,SIERRA CHATA,SICH,PAMPA ENERGIA S.A.,2244862.87,,Gas,miles de m3,2025-09-01,2026-08-01,
RANK-2026-08-OP-CANT-01,ACT-2026-08,Operadoras por Cantidad de Yacimientos,1,YPF S.A.,,YPF S.A.,,45,Ambos,yacimientos,2025-09-01,2026-08-01,
RANK-2026-08-OP-CANT-02,ACT-2026-08,Operadoras por Cantidad de Yacimientos,2,OILSTONE ENERGIA S.A.,,OILSTONE ENERGIA S.A.,,29,Ambos,yacimientos,2025-09-01,2026-08-01,
RANK-2026-08-OP-CANT-03,ACT-2026-08,Operadoras por Cantidad de Yacimientos,3,BENTIA ENERGY S.A.,,BENTIA ENERGY S.A.,,19,Ambos,yacimientos,2025-09-01,2026-08-01,
RANK-2026-08-OP-CANT-04,ACT-2026-08,Operadoras por Cantidad de Yacimientos,4,TECPETROL S.A.,,TECPETROL S.A.,,16,Ambos,yacimientos,2025-09-01,2026-08-01,
RANK-2026-08-OP-CANT-05,ACT-2026-08,Operadoras por Cantidad de Yacimientos,5,TOTAL AUSTRAL S.A.,,TOTAL AUSTRAL S.A.,,10,Ambos,yacimientos,2025-09-01,2026-08-01,
