ID Serie,ID Actualización,Período,Tipo Período,Producto,Tipo Recurso,Valor Producción,Unidad,Participación,Es Proyección,Método Forecast,Límite Inferior,Límite Superior,Fecha Cálculo
SER-2025-08-OIL-CONVENCIONAL,ACT-2026-07,2025-08-01,Mes histórico,Petróleo,Convencional,105215.4153,m3,0.039084952799515814,False,,,,
SER-2025-08-OIL-TIGHT,ACT-2026-07,2025-08-01,Mes histórico,Petróleo,Tight,11304.5698,m3,0.004199371126293809,False,,,,
SER-2025-08-OIL-SHALE,ACT-2026-07,2025-08-01,Mes histórico,Petróleo,Shale,2575447.3262,m3,0.9567156760741903,False,,,,
SER-2025-09-OIL-CONVENCIONAL,ACT-2026-07,2025-09-01,Mes histórico,Petróleo,Convencional,97462.9985,m3,0.036136004357847584,False,,,,
SER-2025-09-OIL-TIGHT,ACT-2026-07,2025-09-01,Mes histórico,Petróleo,Tight,10685.1246,m3,0.003961685101549019,False,,,,
SER-2025-09-OIL-SHALE,ACT-2026-07,2025-09-01,Mes histórico,Petróleo,Shale,2588967.9591,m3,0.9599023105406034,False,,,,
SER-2025-10-OIL-CONVENCIONAL,ACT-2026-07,2025-10-01,Mes histórico,Petróleo,Convencional,95577.2648,m3,0.033108682230151086,False,,,,
SER-2025-10-OIL-TIGHT,ACT-2026-07,2025-10-01,Mes histórico,Petróleo,Tight,9003.9216,m3,0.0031190260539825944,False,,,,
SER-2025-10-OIL-SHALE,ACT-2026-07,2025-10-01,Mes histórico,Petróleo,Shale,2782192.2628,m3,0.9637722917158663,False,,,,
SER-2025-11-OIL-CONVENCIONAL,ACT-2026-07,2025-11-01,Mes histórico,Petróleo,Convencional,83708.2344,m3,0.02982252870673766,False,,,,
SER-2025-11-OIL-TIGHT,ACT-2026-07,2025-11-01,Mes histórico,Petróleo,Tight,8872.6103,m3,0.003161023252635302,False,,,,
SER-2025-11-OIL-SHALE,ACT-2026-07,2025-11-01,Mes histórico,Petróleo,Shale,2714298.3178,m3,0.9670164480406271,False,,,,
SER-2025-12-OIL-CONVENCIONAL,ACT-2026-07,2025-12-01,Mes histórico,Petróleo,Convencional,88428.5961,m3,0.029859748581905356,False,,,,
SER-2025-12-OIL-TIGHT,ACT-2026-07,2025-12-01,Mes histórico,Petróleo,Tight,8627.9142,m3,0.0029133940847247157,False,,,,
SER-2025-12-OIL-SHALE,ACT-2026-07,2025-12-01,Mes histórico,Petróleo,Shale,2864408.3479,m3,0.9672268573333699,False,,,,
SER-2026-01-OIL-CONVENCIONAL,ACT-2026-07,2026-01-01,Mes histórico,Petróleo,Convencional,89116.4144,m3,0.029680412883719812,False,,,,
SER-2026-01-OIL-TIGHT,ACT-2026-07,2026-01-01,Mes histórico,Petróleo,Tight,8888.4274,m3,0.0029603098025785045,False,,,,
SER-2026-01-OIL-SHALE,ACT-2026-07,2026-01-01,Mes histórico,Petróleo,Shale,2904527.9986,m3,0.9673592773137016,False,,,,
SER-2026-02-OIL-CONVENCIONAL,ACT-2026-07,2026-02-01,Mes histórico,Petróleo,Convencional,81435.5108,m3,0.03038499073015492,False,,,,
SER-2026-02-OIL-TIGHT,ACT-2026-07,2026-02-01,Mes histórico,Petróleo,Tight,7597.6398,m3,0.0028348101783387605,False,,,,
SER-2026-02-OIL-SHALE,ACT-2026-07,2026-02-01,Mes histórico,Petróleo,Shale,2591089.7931,m3,0.9667801990915064,False,,,,
SER-2026-03-OIL-CONVENCIONAL,ACT-2026-07,2026-03-01,Mes histórico,Petróleo,Convencional,87281.3706,m3,0.02911442971327948,False,,,,
SER-2026-03-OIL-TIGHT,ACT-2026-07,2026-03-01,Mes histórico,Petróleo,Tight,8163.236,m3,0.0027230090352741636,False,,,,
SER-2026-03-OIL-SHALE,ACT-2026-07,2026-03-01,Mes histórico,Petróleo,Shale,2902428.6631,m3,0.9681625612514463,False,,,,
SER-2026-04-OIL-CONVENCIONAL,ACT-2026-07,2026-04-01,Mes histórico,Petróleo,Convencional,85694.2198,m3,0.02864146807196947,False,,,,
SER-2026-04-OIL-TIGHT,ACT-2026-07,2026-04-01,Mes histórico,Petróleo,Tight,7880.0525,m3,0.002633739738933864,False,,,,
SER-2026-04-OIL-SHALE,ACT-2026-07,2026-04-01,Mes histórico,Petróleo,Shale,2898388.9743,m3,0.9687247921890967,False,,,,
SER-2026-05-OIL-CONVENCIONAL,ACT-2026-07,2026-05-01,Mes histórico,Petróleo,Convencional,89600.036,m3,0.02863454010059366,False,,,,
SER-2026-05-OIL-TIGHT,ACT-2026-07,2026-05-01,Mes histórico,Petróleo,Tight,8386.1512,m3,0.0026800612315160417,False,,,,
SER-2026-05-OIL-SHALE,ACT-2026-07,2026-05-01,Mes histórico,Petróleo,Shale,3031103.2162,m3,0.9686853986678903,False,,,,
