ID Yacimiento,Yacimiento,Cuenca,Provincia,Operadora Principal Petróleo,Operadora Principal Gas,Período Desde,Período Hasta,Petróleo Total 12M,Gas Total 12M,Variación Petróleo Último Mes,Variación Gas Último Mes,ID Actualización,Período M-11,Petróleo M-11,Gas M-11,Período M-10,Petróleo M-10,Gas M-10,Período M-9,Petróleo M-9,Gas M-9,Período M-8,Petróleo M-8,Gas M-8,Período M-7,Petróleo M-7,Gas M-7,Período M-6,Petróleo M-6,Gas M-6,Período M-5,Petróleo M-5,Gas M-5,Período M-4,Petróleo M-4,Gas M-4,Período M-3,Petróleo M-3,Gas M-3,Período M-2,Petróleo M-2,Gas M-2,Período M-1,Petróleo M-1,Gas M-1,Período M0,Petróleo M0,Gas M0
AAN,AGUADA ANACLETO,NEUQUINA,Neuquén,TECPETROL S.A.,,2025-09-01,2026-08-01,212.206,0.0,-1.0,,ACT-2026-08,2025-09-01,25.111,0.0,2025-10-01,25.816,0.0,2025-11-01,21.999,0.0,2025-12-01,19.144,0.0,2026-01-01,14.697,0.0,2026-02-01,0.928,0.0,2026-03-01,21.229,0.0,2026-04-01,17.968,0.0,2026-05-01,25.72,0.0,2026-06-01,24.85,0.0,2026-07-01,14.744,0.0,2026-08-01,0.0,0.0
ACO,ANTICLINAL CAMPAMENTO OESTE,NEUQUINA,Neuquén,,OILSTONE ENERGIA S.A.,2025-09-01,2026-08-01,0.0,7127.32,,-1.0,ACT-2026-08,2025-09-01,0.0,749.23,2025-10-01,0.0,757.97,2025-11-01,0.0,702.33,2025-12-01,0.0,703.98,2026-01-01,0.0,611.65,2026-02-01,0.0,625.45,2026-03-01,0.0,593.84,2026-04-01,0.0,577.57,2026-05-01,0.0,607.77,2026-06-01,0.0,646.97,2026-07-01,0.0,550.56,2026-08-01,0.0,0.0
ACY,AGUADA DEL CHIVATO,NEUQUINA,Neuquén,PATAGONIA ENERGY S.A.,PATAGONIA ENERGY S.A.,2025-09-01,2026-08-01,11073.366,4829.699,-0.3293778327152864,0.3455185190951411,ACT-2026-08,2025-09-01,1699.538,299.016,2025-10-01,1697.887,482.46,2025-11-01,1696.146,584.786,2025-12-01,1326.918,705.838,2026-01-01,923.78,636.903,2026-02-01,725.69,576.334,2026-03-01,640.354,522.48,2026-04-01,649.693,213.825,2026-05-01,611.72,80.75,2026-06-01,290.72,124.687,2026-07-01,485.4,256.924,2026-08-01,325.52,345.696
ADCO,AGUADA CÁNEPA,NEUQUINA,Neuquén,PAN AMERICAN ENERGY SL,PAN AMERICAN ENERGY SL,2025-09-01,2026-08-01,266231.4739,12446.8101,-0.09482071453116192,-0.04743013415650432,ACT-2026-08,2025-09-01,21882.5536,1025.1,2025-10-01,25015.4432,1180.2,2025-11-01,26603.7621,1472.91,2025-12-01,26133.2,1463.4737,2026-01-01,25206.2941,1213.6,2026-02-01,20764.76,824.33,2026-03-01,21924.82,1002.11,2026-04-01,21170.94,869.971,2026-05-01,20896.7101,894.012,2026-06-01,18160.345,837.5334,2026-07-01,20193.7141,851.99,2026-08-01,18278.9317,811.58
AGA,AGUADA DE LA ARENA,NEUQUINA,Neuquén,YPF S.A.,YPF S.A.,2025-09-01,2026-08-01,6249.74,1296519.55,-0.15361167188115765,-0.021525870500095134,ACT-2026-08,2025-09-01,855.32,142171.7,2025-10-01,625.34,108410.81,2025-11-01,179.21,74947.47,2025-12-01,859.34,88240.44,2026-01-01,530.9,77229.87,2026-02-01,236.99,104113.58,2026-03-01,0.0,122476.58,2026-04-01,372.95,90168.96,2026-05-01,148.18,149383.78,2026-06-01,145.84,133884.4,2026-07-01,1243.33,103863.86,2026-08-01,1052.34,101628.1
AGCA,AGUADA DE CASTRO,NEUQUINA,Neuquén,,PAN AMERICAN ENERGY SL,2025-09-01,2026-08-01,0.0,128930.1399,,-0.09406402649168799,ACT-2026-08,2025-09-01,0.0,11609.5426,2025-10-01,0.0,825.91,2025-11-01,0.0,0.0,2025-12-01,0.0,0.0,2026-01-01,0.0,10444.18,2026-02-01,0.0,19688.2201,2026-03-01,0.0,17166.7314,2026-04-01,0.0,14871.3836,2026-05-01,0.0,14874.14,2026-06-01,0.0,13531.3,2026-07-01,0.0,13598.9522,2026-08-01,0.0,12319.78
AGFD,AGUADA FEDERAL,NEUQUINA,Neuquén,VISTA ENERGY ARGENTINA SAU,VISTA ENERGY ARGENTINA SAU,2025-09-01,2026-08-01,319373.445,48857.679,-1.0,-1.0,ACT-2026-08,2025-09-01,23202.987,3667.29,2025-10-01,40716.065,5899.713,2025-11-01,28381.406,4293.404,2025-12-01,26269.153,3989.822,2026-01-01,23611.6,3670.98,2026-02-01,21865.88,3892.16,2026-03-01,17558.244,3688.63,2026-04-01,24337.278,4016.71,2026-05-01,44203.384,6081.022,2026-06-01,35844.642,5016.574,2026-07-01,33382.806,4641.374,2026-08-01,0.0,0.0
ALL,AGUADA LOS LOROS,NEUQUINA,Neuquén,PLUSPETROL CUENCA NEUQUINA S.R.L.,PLUSPETROL CUENCA NEUQUINA S.R.L.,2025-09-01,2026-08-01,12404.35,32010.33,-0.18699412865107146,-0.19147793796720314,ACT-2026-08,2025-09-01,1096.28,2398.77,2025-10-01,1205.77,2713.64,2025-11-01,959.42,2521.58,2025-12-01,1095.16,2840.64,2026-01-01,933.98,2604.5,2026-02-01,1036.53,2908.84,2026-03-01,882.05,2691.17,2026-04-01,901.88,1840.68,2026-05-01,1299.51,3277.11,2026-06-01,1036.05,2992.45,2026-07-01,1079.82,2886.86,2026-08-01,877.9,2334.09
AMOR,AGUILA MORA,NEUQUINA,Neuquén,VISTA ENERGY ARGENTINA SAU,VISTA ENERGY ARGENTINA SAU,2025-09-01,2026-08-01,17400.051,4813.418,-1.0,-1.0,ACT-2026-08,2025-09-01,1774.76,518.75,2025-10-01,1699.152,666.953,2025-11-01,1599.101,471.784,2025-12-01,1676.164,479.81,2026-01-01,1644.72,425.48,2026-02-01,1459.55,333.4,2026-03-01,1564.024,368.35,2026-04-01,1531.94,332.53,2026-05-01,1566.75,348.48,2026-06-01,1414.49,427.051,2026-07-01,1469.4,440.83,2026-08-01,0.0,0.0
ANC,ANTICLINAL CAMPAMENTO,NEUQUINA,Neuquén,OILSTONE ENERGIA S.A.,OILSTONE ENERGIA S.A.,2025-09-01,2026-08-01,518.44,8995.6602,-1.0,-1.0,ACT-2026-08,2025-09-01,67.22,1232.8201,2025-10-01,67.76,1304.04,2025-11-01,62.25,1055.19,2025-12-01,43.68,1079.86,2026-01-01,15.58,935.78,2026-02-01,16.54,412.88,2026-03-01,42.34,220.5601,2026-04-01,52.69,391.07,2026-05-01,58.17,840.21,2026-06-01,49.17,799.65,2026-07-01,43.04,723.6,2026-08-01,0.0,0.0
